model forecast and observations from station:mtic1
station latitude:34.4614
station longitude:-119.649
model latitude:34.4572
model longitude:-119.6543
model, , , , , , , , , ,obs, , , , , , , , ,
year,month,day,hour,min,sec,model temperature,model rel hum,model wind speed,model wind direction,year,month,day,hour,min,sec,obs temperature,obs rel hum,obs wind speed,obs wind direction
yyyy,mm,dd,hh,mm,ss,deg C,%,m/s,deg N,yyyy,mm,dd,hh,mm,ss,deg C,%,m/s,deg N
2022,12,22,0,0,0,17.462,53.88,0.85362,285.07,2022,12,22,0,0,0,NaN,NaN,NaN,NaN
2022,12,22,1,0,0,15.714,56.446,1.6686,286.78,2022,12,22,0,47,0,17.222,47,1.343,194
2022,12,22,2,0,0,16.965,33.67,3.6958,14.167,2022,12,22,1,47,0,17.778,32,7.598,13
2022,12,22,3,0,0,17.403,32.406,5.9461,19.667,2022,12,22,2,47,0,17.778,24,8.046,7
2022,12,22,4,0,0,17.681,33.717,6.9094,25.24,2022,12,22,3,47,0,17.778,25,16.987,12
2022,12,22,5,0,0,17.9,34.677,7.2313,28.969,2022,12,22,4,47,0,17.222,27,5.366,359
2022,12,22,6,0,0,17.731,35.424,6.2708,23.24,2022,12,22,5,47,0,17.778,27,8.941,7
2022,12,22,7,0,0,16.591,39.516,3.2604,32.858,2022,12,22,6,47,0,17.778,27,3.575,7
2022,12,22,8,0,0,16.381,42.507,2.1056,43.557,2022,12,22,7,47,0,17.778,29,9.389,13
2022,12,22,9,0,0,16.908,40.32,1.7073,44.465,2022,12,22,8,47,0,17.222,29,10.731,36
2022,12,22,10,0,0,16.708,39.936,1.5592,49.725,2022,12,22,9,47,0,16.667,29,2.68,345
2022,12,22,11,0,0,16.402,39.758,2.1543,39.252,2022,12,22,10,47,0,16.111,32,5.813,357
2022,12,22,12,0,0,16.609,39.104,1.2867,54.727,2022,12,22,11,47,0,16.667,31,2.233,75
2022,12,22,13,0,0,16.224,39.328,1.1717,55.375,2022,12,22,12,47,0,16.667,33,1.79,150
2022,12,22,14,0,0,15.009,43.623,0.24977,16.003,2022,12,22,13,47,0,16.667,35,1.343,60
2022,12,22,15,0,0,13.23,51.505,1.7902,274.29,2022,12,22,14,47,0,16.111,37,1.79,337
2022,12,22,16,0,0,13.474,59.163,1.0244,268.91,2022,12,22,15,47,0,16.111,36,0.895,283
2022,12,22,17,0,0,13.748,61.159,0.72326,268.71,2022,12,22,16,47,0,16.667,38,0.895,30
2022,12,22,18,0,0,14.933,57.962,0.48613,257.26,2022,12,22,17,47,0,16.111,45,0.448,170
2022,12,22,19,0,0,15.485,59.537,0.61254,209.75,2022,12,22,18,47,0,16.667,49,0.448,354
2022,12,22,20,0,0,15.973,59.618,0.81287,184.23,2022,12,22,19,47,0,17.778,47,0.895,191
2022,12,22,21,0,0,16.623,56.332,1.0938,212.26,2022,12,22,20,47,0,16.667,53,1.343,197
2022,12,22,22,0,0,16.403,58.482,1.256,229.31,2022,12,22,21,47,0,16.667,55,0.895,192
2022,12,22,23,0,0,15.702,65.661,1.2267,239.91,2022,12,22,22,47,0,17.222,53,1.79,211
2022,12,23,0,0,0,14.71,71.859,1.408,257.45,2022,12,22,23,47,0,15.556,57,0.895,17
2022,12,23,1,0,0,12.987,74.05,1.9473,274.19,2022,12,23,0,47,0,16.111,58,0.895,215
2022,12,23,2,0,0,13.771,58.99,2.2467,315.49,2022,12,23,1,47,0,14.444,58,0.448,136
2022,12,23,3,0,0,14.326,56.59,1.8061,315.19,2022,12,23,2,47,0,15,51,1.79,128
2022,12,23,4,0,0,15.116,51.484,1.6412,311.77,2022,12,23,3,47,0,14.444,50,0.895,352
2022,12,23,5,0,0,15.034,51.002,1.3112,350.69,2022,12,23,4,47,0,15.556,42,0.895,59
2022,12,23,6,0,0,14.985,51.075,0.98699,348.82,2022,12,23,5,47,0,15.556,44,0.895,357
2022,12,23,7,0,0,14.725,54.266,1.1125,356.07,2022,12,23,6,47,0,15.556,45,0.895,234
2022,12,23,8,0,0,14.549,54.987,1.394,29.066,2022,12,23,7,47,0,15.556,45,2.68,2
2022,12,23,9,0,0,13.862,56.569,2.6353,10.836,2022,12,23,8,47,0,15.556,45,0.895,241
2022,12,23,10,0,0,13.69,58.514,1.0022,35.367,2022,12,23,9,47,0,14.444,48,0.895,177
2022,12,23,11,0,0,12.801,62.537,0.35575,29.176,2022,12,23,10,47,0,15,48,2.68,350
2022,12,23,12,0,0,13.746,55.222,1.0681,310.14,2022,12,23,11,47,0,15,46,1.343,344
2022,12,23,13,0,0,13.267,55.416,0.84881,297.87,2022,12,23,12,47,0,14.444,47,1.79,320
2022,12,23,14,0,0,13.715,54.1,1.0131,324.35,2022,12,23,13,47,0,14.444,49,1.343,222
2022,12,23,15,0,0,12.965,61.196,0.95425,310.09,2022,12,23,14,47,0,13.889,51,0.448,337
2022,12,23,16,0,0,12.684,68.978,0.4711,260.44,2022,12,23,15,47,0,14.444,49,0.448,124
2022,12,23,17,0,0,13.123,66.657,0.62609,253.4,2022,12,23,16,47,0,15.556,48,0.448,77
2022,12,23,18,0,0,14.174,61.914,1.1165,241.59,2022,12,23,17,47,0,16.111,57,1.343,171
2022,12,23,19,0,0,14.904,60.033,1.1612,226.3,2022,12,23,18,47,0,17.222,53,0.448,176
2022,12,23,20,0,0,15.608,57.176,1.1894,233.83,0,0,0,0,0,0,NaN,NaN,NaN,NaN
2022,12,23,21,0,0,17.213,57.28,1.296,246.48,2022,12,23,20,47,0,18.889,59,2.68,198
2022,12,23,22,0,0,18.28,53.791,0.85389,258.97,2022,12,23,21,47,0,18.333,57,1.79,203
2022,12,23,23,0,0,19.362,46.859,1.4707,332.19,2022,12,23,22,47,0,19.444,50,1.79,206
2022,12,24,0,0,0,18.917,40.377,4.6947,15.699,2022,12,23,23,47,0,19.444,54,0.895,195
2022,12,24,1,0,0,17.428,46.35,7.922,19.873,2022,12,24,0,47,0,16.667,63,1.343,207
2022,12,24,2,0,0,16.962,47.511,7.8636,16.596,2022,12,24,1,47,0,16.111,45,1.79,198
2022,12,24,3,0,0,17.05,46.856,8.4268,16.266,2022,12,24,2,47,0,18.333,31,7.151,1
2022,12,24,4,0,0,16.986,45.604,8.439,17.207,2022,12,24,3,47,0,17.778,34,2.68,148
2022,12,24,5,0,0,17.099,42.458,7.6009,15.726,2022,12,24,4,47,0,17.778,32,1.79,180
2022,12,24,6,0,0,17.301,39.853,6.7939,13.828,2022,12,24,5,47,0,18.333,31,1.343,192
2022,12,24,7,0,0,17.535,38.214,6.8322,14.434,2022,12,24,6,47,0,18.333,29,1.343,39
2022,12,24,8,0,0,17.542,38.428,6.7987,13.659,2022,12,24,7,47,0,17.778,32,2.233,187
2022,12,24,9,0,0,15.999,41.41,2.3249,17.512,2022,12,24,8,47,0,17.222,36,0.448,172
2022,12,24,10,0,0,15.942,43.228,2.0849,29.77,2022,12,24,9,47,0,16.111,43,1.343,245
2022,12,24,11,0,0,15.301,42.888,3.2253,21.256,2022,12,24,10,47,0,16.667,35,0.895,252
2022,12,24,12,0,0,15.41,46.136,1.2533,70.184,2022,12,24,11,47,0,16.667,37,1.343,219
2022,12,24,13,0,0,14.357,51.837,0.82283,103.25,2022,12,24,12,47,0,15.556,42,0.895,261
2022,12,24,14,0,0,15.255,42.184,1.1026,68.858,2022,12,24,13,47,0,15.556,43,0.448,222
2022,12,24,15,0,0,15.34,39.603,1.9627,70.97,2022,12,24,14,47,0,16.667,30,0.895,134
2022,12,24,16,0,0,16.869,36.92,1.7984,81.47,2022,12,24,15,47,0,17.778,28,1.343,100
2022,12,24,17,0,0,17.597,40.79,0.22102,174.42,2022,12,24,16,47,0,19.444,34,0,NaN
2022,12,24,18,0,0,17.568,45.683,1.0659,123.84,2022,12,24,17,47,0,21.667,36,0,NaN
2022,12,24,19,0,0,18.717,45.262,1.2816,122.65,2022,12,24,18,47,0,22.222,37,1.343,204
2022,12,24,20,0,0,19.969,42.947,0.94194,146.72,2022,12,24,19,47,0,22.778,38,3.128,200
